event_name,organizer,event_type,date,start_time,end_time,location_name,street_address,city,state,zip_code,latitude,longitude,price,registration_fee,registration_url,source_url,registration_status,skill_level,division,gender,age_group,format,capacity,spots_remaining,contact_name,contact_email,contact_phone,description,notes
Power Reverse Coed Indoor 6's,The League Sports (TLS),Indoor 6's,2026-04-25,,,,,San Francisco Bay Area,CA,,,,,,,https://www.tl-sports.com/,not_yet_open,,,Coed,,Power Reverse Coed 6's,,,,info@tl-sports.com,408-479-4403,,Listed on TLS homepage schedule. Registration opens 4/26 at 10am (per site).
No Attitudes Harbor Social Event,No Attitudes Beach Volleyball,social,2026-05-01,3:00 PM,7:00 PM,Santa Cruz Harbor Courts,,Santa Cruz,CA,,,,,,https://apps.apple.com/us/app/beach-volleyball/id1456062875,https://www.noattitudesbeachvolleyball.com/upcoming-events,unknown,,,,,social,,,Kaicie McMurray,noattitudesbvb@gmail.com,,Social event at Santa Cruz Harbor Courts (no competitive divisions). Registration via Beach Volleyball iOS app.,Registration handled through third-party Beach Volleyball iOS app (Kyle Gorlick).
Spring Triples Rev Co,FVBL (Fountain Valley Beach League),Grass,2026-05-09,,,,,,,,,,,,,https://docs.google.com/document/d/e/2PACX-1vSeNyslmA1uxMHbuJQEJ-vvsQkNqI2XrKkrzeS5FYd_eTbYycwqu1MFmUNm5NWxd6JBi-KE1qHHk_y7/pub,closed,,Reverse Coed,Reverse Coed,,Triples,,,,,,,Event under FVBL Completed Events (2026). Results & Photos via Facebook media set.
Grass Reverse Coed Quads,The League Sports (TLS),Reverse Coed,2026-05-17,,,,,San Francisco Bay Area,CA,,,,,,,https://www.tl-sports.com/,unknown,,,Coed,,Quads (4s),,,,info@tl-sports.com,408-479-4403,Outdoor 2026 grass season opener for TLS - Reverse Coed Quads (4s) on grass.,Surface: Grass. No direct registration link published yet for May 17.
MLK Doubles W & M,FVBL Events,Grass,2026-05-23,,,,,,,,,,,,,https://docs.google.com/document/d/e/2PACX-1vSeNyslmA1uxMHbuJQEJ-vvsQkNqI2XrKkrzeS5FYd_eTbYycwqu1MFmUNm5NWxd6JBi-KE1qHHk_y7/pub,closed,,,Women's & Men's,,Doubles,,,,,,,Event is completed. FB pages returned 403. No venue/registration URL recoverable.
Men's 6 FT and Under '26,SF Dynasty Volleyball,,2026-05-31,,,,,,,,,,,,https://volleyballlife.com/tournament/36917,https://sfdynastyvb.com/upcoming-events,unknown,,6ft and Under,Men's,,,,,,,,Men's 6ft and Under tournament — players must be 6 feet tall and under.,Detail page on volleyballlife.com had loading placeholders. Venue not assigned to avoid invented data.
Spring Doubles Rev Co,FVBL (Fraser Valley Beach League),grass,2026-06-06,,,,,,,,,,,,,https://docs.google.com/document/d/e/2PACX-1vSeNyslmA1uxMHbuJQEJ-vvsQkNqI2XrKkrzeS5FYd_eTbYycwqu1MFmUNm5NWxd6JBi-KE1qHHk_y7/pub,closed,,Reverse Coed,Reverse Coed,,Doubles,,,,,,,Completed event under FVBL COMPLETED EVENTS (2026). Results & Photos linked via Facebook.
TLS x LEMO - Power Reverse Coed Quads Tournament (Indoor Reverse Coed Quads - Fundraising Tournament),The League Sports (TLS),indoor,2026-06-06,,,,,San Francisco Bay Area,CA,,,,,,https://volleyballlife.com/tournament/38085?tab=information,https://www.tl-sports.com/,unknown,Power,Reverse Coed Quads,Coed,,Reverse Coed Quads,,,,info@tl-sports.com,408-479-4403,Indoor Reverse Coed Quads Fundraising Tournament hosted by TLS in collaboration with LEMO.,Volleyballlife.com pages are JS-rendered. Specific venue not yet announced.
10th Annual Triplepalooza! Grass Triples,TL Sports (TLS / The League Sports),outdoor grass volleyball tournament,2026-06-13,,,,,,CA,,,,,,https://tls.volleyballlife.com/event/38347?tab=information,https://www.tl-sports.com/,unknown,,,,,Grass Triples,,,,info@tl-sports.com,408-479-4403,,Detail page on tls.volleyballlife.com is JS-rendered. Venue/location_name not listed on parent site.
Women's Indoor 6s '26,SF Dynasty Volleyball,tournament,2026-06-14,,,SF Dynasty Volleyball Training Facility,1416 San Mateo Avenue,South San Francisco,California,94080,,,,,https://volleyballlife.com/tournament/37603,https://sfdynastyvb.com/upcoming-events,open,,,Women's,,Indoor 6s,,,,sfdynastyvb@gmail.com,(650) 336-5126,Women's Indoor 6s tournament hosted by SF Dynasty Volleyball. Registration via VolleyballLife.,Detail page at volleyballlife.com/tournament/37603 is a JS-rendered SPA. Address from organizer website. Date 2026 inferred from listing context and '26 in title.
Summer Solstice Spiketacular,No Attitudes Beach Volleyball,tournament,2026-06-20,,,Main Beach Volleyball,400 Beach St,Santa Cruz,CA,95060,,,,$70 early / $80 late (per team),https://apps.apple.com/us/app/beach-volleyball/id1456062875,https://www.noattitudesbeachvolleyball.com/upcoming-events,unknown,"Novice, Intermediate","Coed Novice, Coed Intermediate, Women's, Men's, Teen's, Coed 4v4","Coed, Women's, Men's","Teen's, Adult",2s and 4s (Coed 4v4 division; other divisions presumed doubles),,,Kaicie McMurray,noattitudesbvb@gmail.com,,Pride-themed beach volleyball tournament celebrating Pride Month. Bright rainbow / neon attire encouraged.,Registration handled exclusively via the Beach Volleyball mobile app (no cash). Late fee ($80) two weeks prior.
Power Doubles W & M,FVBL,Grass,2026-06-27,,,Grass,,Newark/Fremont area,CA,,,,,,https://bit.ly/fvbl-2s-mw-rsvp-2,https://docs.google.com/document/d/e/2PACX-1vSeNyslmA1uxMHbuJQEJ-vvsQkNqI2XrKkrzeS5FYd_eTbYycwqu1MFmUNm5NWxd6JBi-KE1qHHk_y7/pub,unknown,,Women's & Men's (separate divisions),Women's & Men's,,Doubles,,,,,,"Doubles (2s), Power format, Women's and Men's separate divisions, Grass surface.",Facebook event and bit.ly registration short link both returned HTTP 403.; Surface: Grass. Facebook event and bit.ly registration link both returned HTTP 403.
San Francisco 9 Man Mini,SF Dynasty Volleyball,tournament,2026-06-27 to 2026-06-28,,,,,San Francisco,CA,,,,,,,https://sfdynastyvb.com/upcoming-events,unknown,,,,,9 Man Mini,,,,sfdynastyvb@gmail.com,(650) 336-5126,,Listing only says 'San Francisco 9 Man Mini / June 27 & 28' with no registration link. Page directs to Instagram.
Grass Reverse Coed Doubles,The League Sports (TLS),Reverse Coed,2026-07-11,,,,,,CA,,,,,,https://volleyballlife.com/event/38606?tab=information,https://www.tl-sports.com/,closed,,,Coed,,Doubles,,,,info@tl-sports.com,408-479-4403,Grass Reverse Coed Doubles tournament hosted by TLS. Registration opens 5/10 at 10am.,Venue/location not yet announced. volleyballlife.com event detail is JS-rendered.
"Stars, Stripes & Spikes",No Attitudes Beach Volleyball,tournament,2026-07-18,,,Main Beach Volleyball,400 Beach St,Santa Cruz,CA,95060,,,,,https://apps.apple.com/us/app/beach-volleyball/id1456062875,https://www.noattitudesbeachvolleyball.com/upcoming-events,unknown,,"Coed Intermediate, Coed Novice, Coed 4v4 (2M/2F), Unrated Men's, Unrated Women's, Teens",,,Hawaii-themed tournament day,,,Kaicie McMurray,noattitudesbvb@gmail.com,,Hawaii-themed tournament day at Main Beach Santa Cruz.,Registration via Beach Volleyball iOS app.
Summer Doubles Rev Co,FVBL,Grass,2026-07-18,,,,,,,,,,,,https://bit.ly/fvbl-2s-rc-rsvp-2,https://docs.google.com/document/d/e/2PACX-1vSeNyslmA1uxMHbuJQEJ-vvsQkNqI2XrKkrzeS5FYd_eTbYycwqu1MFmUNm5NWxd6JBi-KE1qHHk_y7/pub,unknown,,,Reverse Coed,,Doubles,,,,,,,FB event and bit.ly RSVP shortlink both returned HTTP 403.
Summer Doubles Reverse Coed,Friendly Volleyball League (FVBL),Grass,2026-07-18,,,,,Newark/Fremont area,CA,,,,,,http://bit.ly/fvbl-2s-rc-rsvp-2,https://sites.google.com/view/fvbleague/,unknown,,Reverse Coed,Reverse Coed,,Doubles (2s),,,,,,"Doubles (2s), Reverse Coed, Grass surface.",Detail page (Facebook) and bit.ly registration short link both return HTTP 403.
Summer Doubles W & M,Friendly Volleyball League (FVBL),Tournament,2026-07-25,,,"Grass venue (Newark/Fremont, NorCal)",,Newark/Fremont,CA,,,,,,http://bit.ly/fvbl-2s-mw-rsvp-3,https://sites.google.com/view/fvbleague/,unknown,,W & M,Women's and Men's,,Doubles (2s),,,,,,"Doubles (2s) volleyball tournament with Women's and Men's separate divisions, played on grass.",Surface: Grass. Facebook event and bit.ly RSVP both returned HTTP 403.
Summer Doubles W & M,FVBL (Fraser Valley Beach League),tournament,2026-07-25,,,,,,,,,,,,https://bit.ly/fvbl-2s-mw-rsvp-3,https://docs.google.com/document/d/e/2PACX-1vSeNyslmA1uxMHbuJQEJ-vvsQkNqI2XrKkrzeS5FYd_eTbYycwqu1MFmUNm5NWxd6JBi-KE1qHHk_y7/pub,unknown,,Women's & Men's,Women's & Men's,,Doubles (2s),,,,,,,Grass surface. Facebook event and bit.ly RSVP both 403.
Trilogy Triples Coed,Friendly Volleyball League (FVBL),Grass,2026-08-01,,,,,Newark/Fremont,CA,,,,,,http://bit.ly/fvbl-3s-coed-rsvp,https://sites.google.com/view/fvbleague/,unknown,,3s,Coed,,Triples (3s),,,,,,Triples (3s) Coed grass volleyball tournament listed under FVBL 2026 Upcoming Events.,Detail page (Facebook) and registration link (bit.ly) both returned HTTP 403.; Detail page (Facebook event) and RSVP shortlink (bit.ly) both returned HTTP 403.
Power Reverse COED,SF Dynasty Volleyball,,2026-08-02,,,,,,,,,,,,,https://sfdynastyvb.com/upcoming-events,unknown,,Reverse COED,,,Reverse COED,,,,,,,Registration URL not yet posted (listed as 'Link to Come!').
Vintage Coed Quads,FVBL (Fountain Valley Beach League),tournament,2026-08-08,,,Grass,,Newark/Fremont,CA,,,,,,https://bit.ly/fvbl-4s-coed-rsvp,https://docs.google.com/document/d/e/2PACX-1vSeNyslmA1uxMHbuJQEJ-vvsQkNqI2XrKkrzeS5FYd_eTbYycwqu1MFmUNm5NWxd6JBi-KE1qHHk_y7/pub,unknown,,Coed,Coed,,Quads,,,,,,Vintage Coed Quads volleyball tournament - 4-person coed teams on grass.,"Facebook detail page and bit.ly RSVP both returned HTTP 403. Surface is grass; specific venue/address not provided.; Quads (4s), Coed, Grass surface. Hosted in Newark/Fremont area. Specific venue not published."
Endless Summer Classic,No Attitudes Beach Volleyball,tournament,2026-08-15,,,Main Beach Volleyball,400 Beach St,Santa Cruz,CA,95060,,,,$70 early / $80 late (per team),https://apps.apple.com/us/app/beach-volleyball/id1456062875,https://www.noattitudesbeachvolleyball.com/upcoming-events,unknown,,"Coed Novice, Coed Intermediate, Women's, Men's, Teen's, Coed 4v4",,,"2s and 4s (mixed: most divisions doubles, one 4v4 division)",,,Kaicie McMurray,noattitudesbvb@gmail.com,,"70's themed beach volleyball tournament — retro beach vibes, disco energy, vintage sunnies, tube socks, bell bottoms.",Registration through Beach Volleyball mobile app. Android: play.google.com/store/apps/details?id=com.kg.beachvolleyball.
Grass - Format TBD (August),The League Sports (TLS),grass,2026-08-15,,,,,San Francisco Bay Area,CA,,,,,,,https://www.tl-sports.com/,unknown,,,,,TBD,,,,info@tl-sports.com,408-479-4403,Outdoor grass volleyball tournament hosted by TLS in the SF Bay Area. Format TBD on the TLS website.,Listed as 'August 15th - Grass Format TBD'. No registration URL yet.
40 and Over COED,SF Dynasty Volleyball,Tournament,2026-09-12,,,,,San Francisco,CA,,,,,,,https://sfdynastyvb.com/upcoming-events,not_yet_open,,COED,Coed,40+,,,,SF Dynasty Volleyball (@sfdynastyvolleyball),,,,Registration link listed as 'Link to Come!' - not yet published.
Summer Serve Off,No Attitudes Beach Volleyball,Tournament,2026-09-19,,,Main Beach Volleyball,400 Beach St,Santa Cruz,CA,95060,,,,,https://apps.apple.com/us/app/beach-volleyball/id1456062875,https://www.noattitudesbeachvolleyball.com/upcoming-events,unknown,"Novice, Intermediate, Advanced (rated)","Coed Intermediate, Coed Novice, Men's Advanced (1 Player Rated), Women's Advanced (1 Player Rated), Teens","Coed, Men's, Women's",Teens and Adult,Beach volleyball tournament (sand),,,Kaicie McMurray,noattitudesbvb@gmail.com,,"90's Pop themed tournament. Players encouraged to wear windbreakers, neon, overalls, crop tops, jorts, bucket hats.",Registration via Beach Volleyball iOS app.
11th Annual VolleyBOO Reverse Coed Grass Quads,TL Sports / The League Sports,tournament,2026-10-10,,,,,,CA,,,,,,,https://www.tl-sports.com/,unknown,,,coed,,Reverse Coed Grass Quads (costume tournament),,,,info@tl-sports.com,408-479-4403,"11th Annual VolleyBOO — TLS' biggest annual tournament, a Reverse Coed Grass Quads costume event. All players receive event t-shirt. Cash prizes for BEST TEAM Costume.","Registration opens 8/30/2026. Specific venue, registration URL, fee, and divisions not yet published."
Spiketacular Halloween Open,No Attitudes Beach Volleyball,tournament,2026-10-17,,,Main Beach Volleyball,400 Beach St,Santa Cruz,CA,95060,,,,,https://apps.apple.com/us/app/beach-volleyball/id1456062875,https://www.noattitudesbeachvolleyball.com/upcoming-events,unknown,,"Coed Novice, Coed Intermediate, Women's, Men's, Teen's, Coed 4v4",,,,,,Kaicie McMurray,noattitudesbvb@gmail.com,,"Halloween/costumes-themed beach volleyball tournament — costumes, competition, candy on the court.",Registration via Beach Volleyball iOS app. Specific fee/time/capacity gated behind app.
Men's,SF Dynasty Volleyball,tournament,2026-10-18,,,,,,,,,,,,,https://sfdynastyvb.com/upcoming-events,unknown,,,Men's,,,,,,,,,Registration link not yet posted; listed as 'Link to Come!'
Men's & Women's Indoor 6's,The League Sports (TLS),tournament,2026-11-14,,,,,San Francisco Bay Area,CA,,,,,,,https://www.tl-sports.com/,closed,,Men's and Women's (separate divisions),Men's and Women's,,Indoor 6's,,,,info@tl-sports.com,408-479-4403,,Registration opens September 13 at 10am. No venue/registration URL yet.
Thanks for the Digs Classic,No Attitudes Beach Volleyball,Tournament,2026-11-14,,,Main Beach Volleyball,400 Beach St,Santa Cruz,CA,95060,36.9625,-122.0177,,$70 early / $80 late (per team),https://apps.apple.com/us/app/beach-volleyball/id1456062875,https://www.noattitudesbeachvolleyball.com/upcoming-events,unknown,"Multi-level: Advanced, Intermediate, Novice, Unrated","Coed Advanced, Coed Intermediate, Coed Novice, Women's Unrated, Men's Unrated, Teens","Mixed (Coed, Men's, Women's, Teens)",Adults and Teens (13-16),2s,,,Kaicie McMurray,noattitudesbvb@gmail.com,,"Holiday costume theme tournament — final No Attitudes tournament of 2026, wrapping up the organization's first full year.",Registration through Beach Volleyball iOS/Android app. Format inferred as 2s (doubles).
8th Annual Indoor Power Reverse Coed Ugly Sweater Tournament,The League Sports (TL Sports),tournament,2026-12-05,,,,,,CA,,,,,,,https://www.tl-sports.com/,unknown,,Power,coed,,Indoor Reverse Coed Power 6's,,,,info@tl-sports.com,408-479-4403,Annual holiday tournament (Reverse Coed Power 6's). Teams receive gifts and holiday goodies. Registration opens October 4 at 10am.,Registration opens 10/4 at 10am via volleyballlife.com. Specific venue and fee not yet published.
Winter Wonderland Power COED,SF Dynasty Volleyball,tournament,2026-12-19,,,,,,,,,,,,,https://sfdynastyvb.com/upcoming-events,unknown,Power,Power COED,Coed,,,,,,,,,"Listing shows 'Link to Come!' for this event - no registration URL, location, time, or fee published yet."
Friday Night Open Gyms,SF Dynasty Volleyball,open gym,Recurring Fridays,,,SF Dynasty Volleyball,1416 San Mateo Avenue,South San Francisco,CA,94080,,,,,https://reclub.co/clubs/@sf.dynasty,https://sfdynastyvb.com/upcoming-events,unknown,,,,,indoor,,,,sfdynastyvb@gmail.com,(650) 336-5126,Recurring Friday Night Open Gyms hosted by SF Dynasty Volleyball. Sign up via reclub.co/clubs/@sf.dynasty.,Reclub.co returned HTTP 403 to WebFetch (SPA/bot block). Session-level metadata gated behind authenticated Reclub interface.
Friday Night Volleyball Clinic,SF Dynasty Volleyball,clinic,Recurring Fridays,,,SF Dynasty Volleyball Training Facility,1416 San Mateo Avenue,South San Francisco,CA,94080,,,,,,https://sfdynastyvb.com/upcoming-events,unknown,,,,8-14,,,,,sfdynastyvb@gmail.com,(650) 336-5126,Friday Night Volleyball Clinic for ages 8-14.,No direct registration URL; site says 'Message for more information'.
Volleyball Camp (Summer),SF Dynasty Volleyball,camp,Summer 2026,,,SF Dynasty Volleyball Training Facility,1416 San Mateo Avenue,South San Francisco,CA,94080,,,$300 per week,$300,https://forms.gle/wXNF946NG5nqLp179,https://sfdynastyvb.com/upcoming-events,open,,,,,,,,,sfdynastyvb@gmail.com,(650) 336-5126,"Summer Volleyball Camp at $300 per week, 2 hours per session. Register via Google Form.",Listing provides only minimal info. Google Form returned 403 to crawlers.
Private Skills Training,SF Dynasty Volleyball,clinic,,,,SF Dynasty Volleyball Training Facility,1416 San Mateo Avenue,South San Francisco,California,94080,,,,,,https://sfdynastyvb.com/upcoming-events,unknown,,,,,indoor,,,,sfdynastyvb@gmail.com,(650) 336-5126,Private Skills Training; message for more information.,Listing only says 'message for more information.' Likely individualized scheduling.
